Doc_3,0.089
Doc_4,0.069
Doc_9,0.049
Doc_2,0.042
Doc_20,0.028
Doc_7,0.02
Doc_6,0.013
Doc_0,0.0
Doc_1,0.0
Doc_5,0.0
Doc_8,0.0
Doc_10,0.0
Doc_11,0.0
Doc_12,0.0
Doc_13,0.0
Doc_14,0.0
Doc_15,0.0
Doc_16,0.0
Doc_17,0.0
Doc_18,0.0
Doc_19,0.0
Doc_21,0.0
Doc_22,0.0
Doc_23,0.0
Doc_24,0.0
Doc_25,0.0
Doc_26,0.0
Doc_27,0.0
Doc_28,0.0
Doc_29,0.0
Doc_30,0.0
Doc_31,0.0
Doc_32,0.0
Doc_33,0.0
Doc_34,0.0
Doc_35,0.0
Doc_36,0.0
Doc_37,0.0
Doc_38,0.0
Doc_39,0.0
Doc_40,0.0
Doc_41,0.0
Doc_42,0.0
Doc_43,0.0
Doc_44,0.0
Doc_45,0.0
Doc_46,0.0
Doc_47,0.0
Doc_48,0.0
Doc_49,0.0
Doc_50,0.0
Doc_51,0.0
Doc_52,0.0
Doc_53,0.0
Doc_54,0.0
Doc_55,0.0
